UEI,Start Date,End Date,Duration(Days),Main Cause,Location,Districts,State,Latitude,Longitude,Severity,Area Affected,Human fatality,Human injured,Human Displaced,Animal Fatality,Description of Casualties/injured,Extent of damage ,Event Source,Event Souce ID
UEI-IMD-FL-2009-0020,2009-08-07,2009-08-07,1,moderate flood (cloud burst),NA,Mandi,Himachal Pradesh,NA,NA,NA,NA,2,NA,NA,NA,i)2 persons died. ii)Some cattle perished. ,"Some cow sheds, shops and buses washed away.",IMD,NA
UEI-IMD-FL-2009-0021,2009-07-14,2009-07-14,1,cloud burst,NA,Doda,Jammu and Kashmir,NA,NA,NA,NA,1,NA,NA,NA,One person died.,NA,IMD,NA
UEI-IMD-FL-2009-0022,2009-05-18,2009-05-18,1,heavy rains,NA,Chikmagalur,Karnataka,NA,NA,NA,NA,NA,NA,NA,NA,NA,Bydgi crops damaged.,IMD,NA
UEI-IMD-FL-2009-0023,2009-05-22,2009-05-23,2,heavy rains,NA,Bengaluru Urban,Karnataka,NA,NA,NA,NA,1,NA,NA,NA,One woman died.,NA,IMD,NA
UEI-IMD-FL-2009-0024,2009-06-11,2009-06-15,5,heavy rains,NA,Bengaluru,Karnataka,NA,NA,NA,NA,NA,3,NA,NA,3 persons washed away.,NA,IMD,NA
UEI-IMD-FL-2009-0025,2009-07-03,2009-07-08,6,heavy rains,NA,"Dakshina Kannada, Mangalore, Shimoga and Udupi.",Karnataka,NA,NA,NA,NA,NA,11,NA,NA,11 persons washed away.,32 houses washed away in Udupi.,IMD,NA
UEI-IMD-FL-2009-0026,2009-07-16,2009-07-16,1,heavy rains,NA,"Dakshina Kannada, Dharwad and Mysore.",Karnataka,NA,NA,NA,NA,13,NA,NA,NA,13 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0027,2009-09-05,2009-09-05,1,flood (bhadra),NA,"Chikmagalur, Raichur and Gulbarga",Karnataka,NA,NA,NA,NA,NA,3,NA,NA,3 persons washed away.,NA,IMD,NA
UEI-IMD-FL-2009-0028,2009-09-13,2009-09-15,3,heavy rains,NA,"Bengaluru, Gulbarga and Raichur",Karnataka,NA,NA,NA,NA,4,2,NA,NA,4 persons died and 2 children washed away.,NA,IMD,NA
UEI-IMD-FL-2009-0029,2009-09-18,2009-09-18,1,heavy rains,NA,Bengaluru,Karnataka,NA,NA,NA,NA,NA,4,NA,NA,4 persons washed away.,NA,IMD,NA
UEI-IMD-FL-2009-0030,2009-09-22,2009-09-23,2,heavy rains,NA,"Chitradurga, Davanagere and Raichur",Karnataka,NA,NA,NA,NA,5,1,NA,NA,5 persons died and one person washed away.,NA,IMD,NA
UEI-IMD-FL-2009-0031,2009-09-29,2009-09-29,1,heavy rains,NA,Gulbarga,Karnataka,NA,NA,NA,NA,NA,3,NA,NA,3 girls washed away.,NA,IMD,NA
UEI-IMD-FL-2009-0032,2009-09-29,2009-10-03,5,heavy rains,NA,11 districts of North Karnataka and 10 districts of North Interior Karnataka.,Karnataka,NA,NA,NA,NA,308,NA,NA,NA,308 persons died.,"4,069 houses. collapsed and 11,488 houses damaged. ",IMD,NA
UEI-IMD-FL-2009-0033,2009-10-01,2009-10-07,7,"flash flood (krishna, ghatprabha and malprabha)",NA,15 districts of Karnatka,Karnataka,NA,NA,NA,NA,195,NA,NA,NA,195 persons died.,"i)Crops in 25000 hectares of area damaged. ii)2,40,000 houses damaged causing Rs. 16,500 crores loss. ",IMD,NA
UEI-IMD-FL-2009-0034,2009-05-26,2009-05-26,1,heavy rains,NA,"Alappuzha, Kollam, Kottayam and Thiruvananthapuram ",Kerala,NA,NA,NA,NA,NA,1,NA,NA,One girl washed away.,4 houses completely and 115 houses partially damaged. ,IMD,NA
UEI-IMD-FL-2009-0035,2009-07-05,2009-07-05,1,heavy rains,NA,"Kozhikode, Thrissur and Wayanad",Kerala,NA,NA,NA,NA,5,NA,NA,NA,5 persons died.,NA,IMD,NA
UEI-IMD-FL-2009-0036,2009-07-11,2009-07-12,2,heavy rains,NA,Wayanad,Kerala,NA,NA,NA,NA,NA,NA,NA,NA,NA,i)About 600 plantations destroyed. ii) Landslide reported. ,IMD,NA
UEI-IMD-FL-2009-0037,2009-07-15,2009-07-18,4,heavy rains,NA,"Alappuzha, Ernakulam, Idukki, Kannur, Kasaragode, Kollam, Kozhiokode, Pathanamthitta, Thrissur and Thiruvananthapuram.",Kerala,NA,NA,NA,NA,33,NA,NA,NA,33 persons died.,i) 363 houses completely and 811 partially damaged. ii) In 666 hectares of cropland a loss of about Rs.10 crores reported. ,IMD,NA
UEI-IMD-FL-2009-0038,2009-07-20,2009-07-22,3,heavy rains,NA,Wayanad,Kerala,NA,NA,NA,NA,7,10,NA,17,i) 7 persons died and 10 persons injured. ii) 17 cattle washed away. ,i) Landslide reported in 14 places. ii) 316 houses completely and 3991 houses partially damaged. iii) Extensive damage to agriculture reported. iv) In 1372 hectares of land a total loss of Rs. 44 crores reported. ,IMD,NA
UEI-IMD-FL-2009-0039,2009-09-18,2009-09-18,1,heavy rains,NA,Kottayam,Kerala,NA,NA,NA,NA,1,NA,NA,NA,One person died..,NA,IMD,NA
